Supplier Name,VEDA Measure Related 1,VEDA Measure Related 2,VEDA Measure Related 3,VEDA Measure FormatString,VEDA Measure Related 1 FormatString,VEDA Measure Related 2 FormatString,VEDA Measure Related 3 FormatString,VEDA Measure Size By FormatString,VEDA Measure Name,VEDA Measure Related 1 Name,VEDA Measure Related 2 Name,VEDA Measure Related 3 Name,VEDA Measure Size By Name,VEDA Measure Sentiment,VEDA Measure Related 1 Sentiment,VEDA Measure Related 2 Sentiment,VEDA Measure Related 3 Sentiment,VEDA PARM MASK Value,VEDA PARM TOPN Value,VEDA Measure Size By Sentiment,VEDA PARM OVERALL RANKING Value,VEDA Measure Size By,VEDA Measure
MegaCorp International,,,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Precision Engineering,0.0%,100.0%,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,3,1632
Precision Engineering Co.,0.0%,100.0%,55.6%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,3,1632
Precision Machining Co.,0.0%,33.3%,66.7%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,5,1632
Precision Manufacturing,,,25.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Prime Global Inc.,,,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Prime Global Solutions,29.2%,66.7%,44.4%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,48,1632
Prime Logistics,48.7%,10.6%,47.6%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,391,1632
Prime Technology,,,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
ProTech Solutions,0.0%,100.0%,33.3%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,3,1632
Quantum Consulting,,,5.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Quantum Innovations,,,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Quantum Research,20.4%,46.9%,33.3%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,268,1632
Quantum Solutions,15.6%,82.8%,59.4%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,96,1632
Reliable Builders Inc.,27.3%,0.0%,25.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,44,1632
Reliable Contractors,0.0%,100.0%,50.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,4,1632
Reliable IT Solutions,,,100.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Reliable Partners Ltd.,,,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Sapphire Electronics,33.5%,11.8%,60.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,370,1632
Sapphire IT Services,,,50.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Sapphire Solutions,0.0%,100.0%,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,1,1632
Secure Networks Ltd.,21.1%,0.0%,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,19,1632
Secure Software Ltd.,,,10.9%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Secure Solutions Inc.,17.6%,57.1%,33.3%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,34,1632
Secure Systems Ltd.,37.0%,13.3%,28.6%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,146,1632
Silverlake Motors,20.4%,62.5%,50.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,49,1632
Silverline Technologies,,,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Silverstone Motors,30.4%,0.0%,33.3%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,23,1632
Silverstream Technologies,0.0%,100.0%,10.9%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,1,1632
Smith Manufacturing,,,50.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Starbright Logistics,0.0%,100.0%,47.1%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,3,1632
Starlight Logistics,0.0%,100.0%,7.7%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,31,1632
Starlink Communications,0.0%,25.0%,50.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,20,1632
StarTech Communications,35.5%,17.2%,42.3%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,273,1632
Sterling Supply Co.,,,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Summit Logistics,0.0%,65.0%,40.8%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,242,1632
Summit Solutions,0.0%,100.0%,91.7%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,24,1632
Summit Technologies,0.0%,100.0%,100.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,1,1632
Sunlight Supplies,,,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Swift Delivery Services,,,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Swift Distribution,100.0%,,16.7%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,1,1632
Swift Solutions,35.3%,30.2%,40.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,397,1632
Top Notch Solutions,40.3%,10.3%,42.9%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,299,1632
Top Quality Solutions,0.0%,100.0%,0.0%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,6,1632
TopTech Solutions,3.3%,28.6%,46.7%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,31,1632
XYZ Corporation,,,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Zenith Electronics,60.0%,40.0%,42.9%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,20,1632
Zenith Solutions,,,15.8%,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
Zenith Systems,,,,"#,0",0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,0.0%;-0.0%;0.0%,"#,0",Openings,% Submit to Interview,% Hires (Directed),% Negative Turnover,Candidates Submitted,HIGH IS GOOD,HIGH IS GOOD,LOW IS GOOD,LOW IS GOOD,1,0,LOW/HIGH IS NEUTRAL,2,,1632
